33	428271	9	0	0	0	35	-1
43	153489	13	1	0	0	50	-1
38	278924	10	1	0	0	44	-1
24	96279	9	0	0	0	40	-1
39	274683	10	1	7688	0	50	1
38	48779	10	1	0	0	40	1
54	340476	9	0	0	0	35	-1
35	275522	4	0	0	0	80	-1
35	205584	3	1	0	0	40	-1
37	185359	9	1	0	0	40	-1
33	275369	4	1	0	0	35	-1
23	268145	13	0	0	0	45	-1
49	94342	13	1	0	0	60	-1
30	277314	9	1	0	0	40	-1
25	132683	9	0	0	0	50	-1
49	198759	12	1	15024	0	60	1
67	39100	9	0	0	0	5	-1
42	569930	13	1	0	0	45	1
44	56651	10	1	7688	0	45	1
43	92775	11	1	0	0	40	-1
43	347934	9	0	0	0	30	-1
64	114994	9	1	0	0	20	-1
54	170562	10	1	0	0	48	1
31	301168	10	1	0	0	40	-1
43	118600	13	0	0	625	40	-1
59	144071	9	1	0	0	40	1
41	155767	10	1	0	0	50	-1
33	33727	14	0	0	0	40	-1
55	174533	13	0	0	0	72	-1
54	215990	10	1	7688	0	40	1
56	67662	14	0	0	0	39	-1
43	272165	5	1	0	0	40	-1
51	84399	9	1	0	0	40	-1
25	157617	9	1	0	0	40	-1
36	183902	13	0	0	0	4	1
46	268281	13	0	0	0	40	-1
61	355645	5	1	0	0	20	-1
56	157525	10	1	0	0	48	-1
69	323016	13	1	99999	0	40	1
48	383384	9	1	0	0	40	1
22	74631	10	0	0	0	13	-1
43	355856	13	1	0	0	50	-1
30	58582	13	1	0	0	10	-1
20	41432	10	0	0	0	46	-1
60	532845	2	1	0	0	40	1
27	86681	13	0	0	0	40	-1
30	111415	13	1	0	0	45	1
25	114345	5	1	914	0	40	-1
46	140664	10	1	0	0	48	1
57	317847	14	1	0	2824	50	1
21	296158	9	1	0	0	35	-1
62	125155	9	1	0	0	38	-1
28	144063	9	1	0	0	40	-1
44	167005	10	1	4386	0	55	-1
28	204516	6	1	0	0	45	-1
40	104235	14	1	0	0	99	-1
64	110150	9	1	0	0	40	-1
34	206609	10	1	0	0	35	-1
63	181863	13	1	0	0	27	-1
19	369463	9	0	0	0	40	-1
35	142616	9	0	0	0	30	-1
47	275095	10	0	0	0	40	-1
38	316211	9	1	0	0	40	-1
53	311269	9	0	0	0	40	-1
44	445382	10	1	0	0	40	-1
40	271393	12	0	0	0	40	-1
57	282913	9	1	0	0	40	-1
48	38950	9	1	0	0	89	-1
51	124076	13	0	0	0	40	-1
34	48014	13	0	0	0	35	-1
36	242713	9	0	0	0	40	-1
28	271466	9	1	0	0	45	1
56	175127	9	1	0	0	35	-1
25	307643	9	1	0	0	40	-1
50	44368	10	1	0	0	40	-1
61	102191	14	0	0	0	99	-1
26	211265	10	0	0	0	35	-1
35	108140	13	1	0	0	40	1
37	211494	9	1	0	0	40	1
22	228411	10	1	0	0	35	-1
53	123092	9	0	0	0	40	-1
45	170871	9	1	15024	0	55	1
36	139364	13	1	0	0	50	1
38	43712	7	1	0	1887	45	1
31	381153	6	1	0	0	40	1
36	41624	6	1	0	0	70	-1
57	140426	2	1	0	0	35	-1
25	124111	10	0	0	0	40	-1
37	186035	12	1	0	0	55	-1
20	228649	9	1	0	0	40	-1
20	105686	9	1	0	0	40	-1
49	165134	11	0	0	0	35	-1
31	194055	9	1	0	0	50	-1
27	29732	13	0	4865	0	36	-1
35	107233	9	1	0	0	55	-1
40	119225	11	1	0	0	40	-1
54	197975	3	1	0	0	51	-1
37	50837	14	1	0	0	45	1
35	144172	12	0	0	0	16	-1
65	240166	7	1	0	0	35	-1
